rule_id	uri	category	field_key	operator	threshold_value	unit	hash
civil.general-check.measured_value.rule	v://normref.com/rule/civil/general-check/measured_value@2026-04	civil/general-check	measured_value	eq	2017	t	sha256:f67da8afecbfca06ddebd8d328c47c135bcff51751f0a038c902a023be8bd745
civil.general-check.measured_value.rule	v://normref.com/rule/civil/general-check/measured_value@2026-04	civil/general-check	measured_value	eq	710100	t	sha256:7cabd8dda17123c1c94b21a32000dd9a5e99f51544640ab534a1e5963ddd14f1
civil.general-check.measured_value.rule	v://normref.com/rule/civil/general-check/measured_value@2026-04	civil/general-check	measured_value	eq			sha256:87562aea4ecaf9b8d2c4eb64361834756fb9f91b23f6b3d65f936fab18f3c96a
civil.general-check.measured_value.0.6	v://normref.com/rule/civil/general-check/measured_value@2026-04	civil/general-check	measured_value	eq	0.008	mm	sha256:4a67c00644a5d311e0de38066e4c173c2873b21aba1415fabe53d9268b052e57
civil.general-check.measured_value.0.02	v://normref.com/rule/civil/general-check/measured_value@2026-04	civil/general-check	measured_value	eq	0.05	mm	sha256:b5506fa5b0111dcd504bec523e158ec5b5ec90c4ae4ab3d8e88494c7508534a8
civil.general-check.measured_value.0.02	v://normref.com/rule/civil/general-check/measured_value@2026-04	civil/general-check	measured_value	eq	2017	t	sha256:dcb59a7871683fa1a30b04bcc29ed3cb246f3b97dc7d6bc5b5e293841d002b72
civil.general-check.measured_value.0.02	v://normref.com/rule/civil/general-check/measured_value@2026-04	civil/general-check	measured_value	eq	710100	t	sha256:6ecbb14beea3983df48a0597ca7fa2e051496b8dd15232cdffdfba82b74286b0
civil.general-check.measured_value.0.02	v://normref.com/rule/civil/general-check/measured_value@2026-04	civil/general-check	measured_value	eq		mm	sha256:e04ced9e585e17711ab98f754d6997d84bd1cea6a7ce1374a20a3fe22f5b7e6a
civil.general-check.measured_value.0.10	v://normref.com/rule/civil/general-check/measured_value@2026-04	civil/general-check	measured_value	eq	0	mm	sha256:4c9a53f4643df689833ec8c44bab8c67c888e57179fc1f94b3131d03304edded
civil.general-check.measured_value.0.08	v://normref.com/rule/civil/general-check/measured_value@2026-04	civil/general-check	measured_value	eq	0.008	mm	sha256:afd62cad59d9cc149562f40dc7b649cf0b796c35c788a475f14dc91496d1f60a
civil.general-check.measured_value.0.009	v://normref.com/rule/civil/general-check/measured_value@2026-04	civil/general-check	measured_value	eq	2017	t	sha256:9a9a8de4adee8d827e47be67551ff8cca8ef6fc38cff2f3ac465880909704bd2
civil.general-check.measured_value.0.009	v://normref.com/rule/civil/general-check/measured_value@2026-04	civil/general-check	measured_value	eq	299	t	sha256:5b99d1b70f5342f1a0ca35c8c097cbca27f62139e5950744963068af54f02f67
civil.general-check.measured_value.0.009	v://normref.com/rule/civil/general-check/measured_value@2026-04	civil/general-check	measured_value	eq	710100	t	sha256:2827f9b38cd12245159f5746de76bd568a8d6a3ed062fe5d9b8286eef4852346
civil.general-check.measured_value.0.009	v://normref.com/rule/civil/general-check/measured_value@2026-04	civil/general-check	measured_value	eq	150	mm	sha256:e72eb047d6adc7be4a1fe2756a8c868f57a0808b72f956972de2850053d9ff9e
civil.general-check.measured_value.0.009	v://normref.com/rule/civil/general-check/measured_value@2026-04	civil/general-check	measured_value	tolerance	5	m	sha256:aeb6c90a98e5024ecf825681c8f3abf2c912b343e4536307d772861c348b9ef6
civil.general-check.measured_value.0.009	v://normref.com/rule/civil/general-check/measured_value@2026-04	civil/general-check	measured_value	eq	50	mm	sha256:feea323770a6413a0f90a4ea19acfad09ee302fc07d09f678c5cb1c90f7c1384
civil.general-check.measured_value.0.009	v://normref.com/rule/civil/general-check/measured_value@2026-04	civil/general-check	measured_value	eq	20	℃	sha256:35f887968bab545747c82618d936427f0e16cafb98409c78ba16b321ac99ddee
civil.general-check.measured_value.0.009	v://normref.com/rule/civil/general-check/measured_value@2026-04	civil/general-check	measured_value	eq	60	%	sha256:6c609980c6bb9587c750ad92b89a4c194f1cbaf6429170306fd3c2f96e2dc557
civil.general-check.measured_value.0.009	v://normref.com/rule/civil/general-check/measured_value@2026-04	civil/general-check	measured_value	eq		mm	sha256:fcd082b7b821fa05b7bd6392a0691dd2ca30568a2982c5e84cbca0fb78c89990
civil.general-check.measured_value.0.055	v://normref.com/rule/civil/general-check/measured_value@2026-04	civil/general-check	measured_value	eq	2017	t	sha256:9d2e3499809f8c4bdffb0a4fe07174f9aa8c238b93d4db7c17e34a0c2d264200
civil.general-check.measured_value.0.055	v://normref.com/rule/civil/general-check/measured_value@2026-04	civil/general-check	measured_value	eq	299	t	sha256:9c5d2dccc1524f5df5ce4c47f7cebdcd7945b11ae1fb94138eaa31be27ca5a75
civil.general-check.measured_value.0.055	v://normref.com/rule/civil/general-check/measured_value@2026-04	civil/general-check	measured_value	eq	710100	t	sha256:501ff926c999439db9d770dec9c98e46641513bed58f3d1e7d8e98f6cea021cc
civil.general-check.measured_value.0.055	v://normref.com/rule/civil/general-check/measured_value@2026-04	civil/general-check	measured_value	range	0~200	mm	sha256:9b2c84826e231c21a8843e69bfbc0152718f36ecf3388820d1b3618485329f06
civil.general-check.measured_value.0.055	v://normref.com/rule/civil/general-check/measured_value@2026-04	civil/general-check	measured_value	tolerance	0.03	m	sha256:7431755aa451823ef7092ba2775c194c98c6acc0507eae7e58ec08edd3ac31d6
civil.general-check.measured_value.0.055	v://normref.com/rule/civil/general-check/measured_value@2026-04	civil/general-check	measured_value	eq	20	℃	sha256:8e69a81fe38b3131118b43730cd4bd8b33491c2ddf0d32949e41993a02d94b4e
civil.general-check.measured_value.0.055	v://normref.com/rule/civil/general-check/measured_value@2026-04	civil/general-check	measured_value	eq	60	%	sha256:dd4da820db7f1b5d3fe83256c3e531eb36d3cadef184746aba052d40b34246a9
civil.general-check.measured_value.0.055	v://normref.com/rule/civil/general-check/measured_value@2026-04	civil/general-check	measured_value	eq		mm	sha256:75f3d1b043d37e91a0eb18e928c1bc98b4848ab75bc0f76870cfb0c1e5756340
civil.general-check.measured_value.0.008	v://normref.com/rule/civil/general-check/measured_value@2026-04	civil/general-check	measured_value	eq	1	t	sha256:ecbb1b5a1fb2081d49f21bd96672eda80eb2cc8ce28a169824a3d0ff908769b8
civil.general-check.measured_value.0.008	v://normref.com/rule/civil/general-check/measured_value@2026-04	civil/general-check	measured_value	eq	2019	t	sha256:e4897ee227ac0ef669a726b53d53311eace7e682d27fdcf840768f44f48a9771
civil.general-check.measured_value.0.008	v://normref.com/rule/civil/general-check/measured_value@2026-04	civil/general-check	measured_value	eq	299	t	sha256:b8cc311f2671b858682e416ac09aa5a79d04140f77cd5c5630ad818a36fd8b94
civil.general-check.measured_value.0.008	v://normref.com/rule/civil/general-check/measured_value@2026-04	civil/general-check	measured_value	eq	710100	t	sha256:a94bd0d0679cf7c5ec4a6b93c919977fde579f851d5fa9be4c308d115e46ff19
civil.general-check.measured_value.0.008	v://normref.com/rule/civil/general-check/measured_value@2026-04	civil/general-check	measured_value	eq	150	mm	sha256:14e30f1f9950c1cf21ddf790e2d69af517ba82c16c8c15d085f961302ca501b2
civil.general-check.measured_value.0.008	v://normref.com/rule/civil/general-check/measured_value@2026-04	civil/general-check	measured_value	tolerance	5	m	sha256:69fe5de3d1b017c42309eee3ee5a65ff7457f42f5ffdded69dc303e6cb38d9c7
civil.general-check.measured_value.0.008	v://normref.com/rule/civil/general-check/measured_value@2026-04	civil/general-check	measured_value	eq	50	mm	sha256:c0daa00aa1fe23bea053839f1dbcf548af919ee66d72eeadfba4957236dfff6f
civil.general-check.measured_value.0.008	v://normref.com/rule/civil/general-check/measured_value@2026-04	civil/general-check	measured_value	range	0~200	mm	sha256:e99f465b2aa0334787765e4600fdbcc8907bf0bd30b3895f62d3f950adc69f70
civil.general-check.measured_value.0.008	v://normref.com/rule/civil/general-check/measured_value@2026-04	civil/general-check	measured_value	tolerance	0.03	mm	sha256:b0689552a1d22b2fb73c8d3e031b4f030f2ccd1dafe3afbfd0200af31ec69336
civil.general-check.measured_value.0.008	v://normref.com/rule/civil/general-check/measured_value@2026-04	civil/general-check	measured_value	eq	20.0	℃	sha256:6ca426c48a9376ced4c38e5d182cbe456f11cbaeb94b721da8738f65d5bbe1a3
civil.general-check.measured_value.0.008	v://normref.com/rule/civil/general-check/measured_value@2026-04	civil/general-check	measured_value	eq	51	%	sha256:717346227cf45a7442161d424d365fb0c716328b3fc623e9736a87dd0856a73b
civil.general-check.measured_value.0.008	v://normref.com/rule/civil/general-check/measured_value@2026-04	civil/general-check	measured_value	eq			sha256:86500bb943e4453ef5762b382ac1951d77fafea969d10927fc20628f5f6b5e8e
civil.general-check.measured_value.0.008	v://normref.com/rule/civil/general-check/measured_value@2026-04	civil/general-check	measured_value	eq		mm	sha256:1ee1ef30d7a2cde47b483d59e1aa030cb24077fb2a21d7fa4d0df227243d003c
civil.general-check.measured_value.0.104	v://normref.com/rule/civil/general-check/measured_value@2026-04	civil/general-check	measured_value	eq	0.008	mm	sha256:2ebcf23ef944ea325c7902ad783476afc38fd70cdfb2caf8ee73b6a8be4a8fd1
civil.general-check.measured_value.0.079	v://normref.com/rule/civil/general-check/measured_value@2026-04	civil/general-check	measured_value	eq	0.008	mm	sha256:42f3be645ea729231da9c2d5955e8466cda244dc1ecfd5df079685487e1bc6a8
civil.general-check.measured_value.0.050	v://normref.com/rule/civil/general-check/measured_value@2026-04	civil/general-check	measured_value	eq	0.008	mm	sha256:76f5d4c1cdb84cc3ab5bb53f13ffa12df5c45410bf8f8c1b30aad1ad67727f47
civil.general-check.measured_value.0.050	v://normref.com/rule/civil/general-check/measured_value@2026-04	civil/general-check	measured_value	eq	2019	t	sha256:08e08046c75b1788daa8ffdd22dec6259f0f9e802b2451554944554fef59b729
civil.general-check.measured_value.0.050	v://normref.com/rule/civil/general-check/measured_value@2026-04	civil/general-check	measured_value	eq	299	t	sha256:e7a4bcb2cccef64cef5eb5cf86ae2a70942ec41ee5cc04cda11fcc81e8a50621
civil.general-check.measured_value.0.050	v://normref.com/rule/civil/general-check/measured_value@2026-04	civil/general-check	measured_value	eq	710100	t	sha256:979769aaf6b13053c490e1c2fa7d92f0a8800231166144ede1bdb2c41bfbf62a
civil.general-check.measured_value.0.050	v://normref.com/rule/civil/general-check/measured_value@2026-04	civil/general-check	measured_value	eq	150	mm	sha256:0fb409e603850244cf4fab484c63fee688bd1e2d26cd4f05387ecc10fc0cc2b2
civil.general-check.measured_value.0.050	v://normref.com/rule/civil/general-check/measured_value@2026-04	civil/general-check	measured_value	tolerance	5	m	sha256:ffdbb1287bd15c799e78f8d66adcea964a916945dbe1249082e5066af7878277
civil.general-check.measured_value.0.050	v://normref.com/rule/civil/general-check/measured_value@2026-04	civil/general-check	measured_value	eq	50	mm	sha256:c777572b44262a44c901884233b217c3c48335fdf29e17468ec6a421ba789842
civil.general-check.measured_value.0.050	v://normref.com/rule/civil/general-check/measured_value@2026-04	civil/general-check	measured_value	range	0~200	mm	sha256:fd91f62ca6debdc3d066261ca77e994abfb1bf18fd79db4bcb78d792e2dd12b9
civil.general-check.measured_value.0.050	v://normref.com/rule/civil/general-check/measured_value@2026-04	civil/general-check	measured_value	tolerance	0.03	mm	sha256:3938241c32b67724bbbc9d322fd87b6057c8a8c96bf7c08e6461eaaadb4d6df1
civil.general-check.measured_value.0.050	v://normref.com/rule/civil/general-check/measured_value@2026-04	civil/general-check	measured_value	eq	20.3	℃	sha256:df8cd997a78fcd84fc53b2b2a2c17605bd982fbfd6c0d8b5615cbe217e828830
civil.general-check.measured_value.0.050	v://normref.com/rule/civil/general-check/measured_value@2026-04	civil/general-check	measured_value	eq	20.0	%	sha256:6d036a73aa47b8d7551416be7422e0d68fa8f9757fde517bbeb56a0a4db80710
civil.general-check.measured_value.0.050	v://normref.com/rule/civil/general-check/measured_value@2026-04	civil/general-check	measured_value	eq		mm	sha256:b577efa12e4cfa0c53e29e62e60242d13ae0fb38943f9c0fe31e4cf442c3c710
civil.general-check.measured_value.0.40	v://normref.com/rule/civil/general-check/measured_value@2026-04	civil/general-check	measured_value	eq	0.06	mm	sha256:deacb3802892d9d020d46023168f875c0d35b4b3e12f1cb29cd60af2ce2e1c83
civil.general-check.measured_value.0.30	v://normref.com/rule/civil/general-check/measured_value@2026-04	civil/general-check	measured_value	eq	0.06	mm	sha256:bed5d7be9e8fc246673fa1228cf9be2e38b9556dd814e9c7c753023f4abce5e3
civil.general-check.measured_value.0.092	v://normref.com/rule/civil/general-check/measured_value@2026-04	civil/general-check	measured_value	eq	0.008	mm	sha256:d1cc1da77cca553aee9e6401fc26742717b5d6ddcb55e1b43a62ec777bea3f68
civil.general-check.measured_value.0.092	v://normref.com/rule/civil/general-check/measured_value@2026-04	civil/general-check	measured_value	eq	2017	t	sha256:2588d0efee967ed4ce7f9bbf6c9bd5b896a2a4b470587b4ad6b59a520fc59aee
civil.general-check.measured_value.0.092	v://normref.com/rule/civil/general-check/measured_value@2026-04	civil/general-check	measured_value	eq	710100	t	sha256:06602d7bc4bfa3c307d0304c67924a15197f37f39616da710b74e16b4bc261ce
civil.general-check.measured_value.0.092	v://normref.com/rule/civil/general-check/measured_value@2026-04	civil/general-check	measured_value	eq	150	mm	sha256:0c2951e5f192f5a9bc4891a21e6a96bad4db7eb8fd7e805b395a3154e50732c3
civil.general-check.measured_value.0.092	v://normref.com/rule/civil/general-check/measured_value@2026-04	civil/general-check	measured_value	tolerance	5	m	sha256:0f508a6dbe9ce5425785d17d8cac84e03970533418434856cd03c401eec3660c
civil.general-check.measured_value.0.092	v://normref.com/rule/civil/general-check/measured_value@2026-04	civil/general-check	measured_value	eq	50	mm	sha256:b0e84599c6c6533b3808f12475414792f836853adc476baef499b910e270b658
civil.general-check.measured_value.0.092	v://normref.com/rule/civil/general-check/measured_value@2026-04	civil/general-check	measured_value	range	0~200	mm	sha256:8842ff940c8cdb3f1dc1bd44447e56dcb788004b62093f716220f2324aa35137
